   0   0.0
  90   0.0
 180   0.0
 270   0.0
 360   0.0
 450   0.0
 540   0.0
 630   0.0
 720   0.0
 810   0.0
 900   0.0
 990   0.0
1080   0.0
1170   0.0
1260   0.0
1350   0.0
1440   0.0
1530   0.0
1620   0.0
1710   0.0
1800   0.0
1890   0.0
1980   0.0
2070   0.0
2160   0.0
2250   0.0
2340   0.0
2430   0.0
2520   0.0
2610   0.0
2700   0.0
2790   0.0
2880   0.0
2970   0.0
3060   0.0
3150   0.0
3240   0.0
3330   0.0
3420   0.0
3510   0.0
3600   0.0
3690   0.0
3780   0.0
3870   0.0
3960   0.0
4050   0.0
4140   0.0
4230   0.0
4320   0.0
4410   0.0
4500   0.0
4590   0.0
4680   0.0
4770   0.0
4860   0.0
4950   0.0
5040   0.0
5130   0.0
5220   0.0
5310   0.0
5400   0.0
5490   0.0
5580   0.0
5670   0.0
5760   0.0
5850   0.0
5940   0.0
