  54   0.0
 112   0.1
 196   0.1
 203   0.1
 255   0.2
 565   1.1
 626   1.5
 661   1.8
 764   3.0
 943   6.9
1008   9.1
1036  10.2
1234  21.6
1294  26.5
1390  36.1
1436  41.5
1653  73.8
1729  87.6
1765  94.4
1860 113.2
2042 149.5
2228 180.5
2528 199.8
2543 199.5
2603 197.1
2607 196.8
2628 195.5
2674 191.8
2734 185.4
2803 176.1
3022 137.0
3105 120.3
3111 119.1
3222  97.0
3279  86.1
3312  80.0
3361  71.4
3439  58.8
3567  41.1
3595  37.8
3997   8.9
4016   8.2
4155   4.5
4199   3.6
4202   3.6
4248   2.9
4253   2.8
4337   1.8
4425   1.2
4467   0.9
4499   0.8
4522   0.7
4532   0.6
4596   0.4
4670   0.3
4852   0.1
